SMILES,InChI_ID,Ki,BDB DOI,pKi
COC[C@H]1C[C@@H]2[C@](c3cc(OCC4CC4)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C19H26FN3O5S/c1-23-18(21)22-19(11-28-14(10-26-2)8-17(19)29(23,24)25)15-7-13(5-6-16(15)20)27-9-12-3-4-12/h5-7,12,14,17H,3-4,8-11H2,1-2H3,(H2,21,22)/t14-,17-,19-/m1/s1",7.9,10.7270/Q2057JXQ,8.102372909
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4cccnc4)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C20H23FN4O5S/c1-25-19(22)24-20(12-29-15(11-28-2)9-18(20)31(25,26)27)16-8-13(5-6-17(16)21)30-14-4-3-7-23-10-14/h3-8,10,15,18H,9,11-12H2,1-2H3,(H2,22,24)/t15-,18-,20-/m1/s1",39,10.7270/Q2057JXQ,7.408935393
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4cc(C#N)ccn4)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C21H22FN5O5S/c1-27-20(24)26-21(12-31-15(11-30-2)9-18(21)33(27,28)29)16-8-14(3-4-17(16)22)32-19-7-13(10-23)5-6-25-19/h3-8,15,18H,9,11-12H2,1-2H3,(H2,24,26)/t15-,18-,21-/m1/s1",1.9,10.7270/Q2057JXQ,8.721246399
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4cnccc4Cl)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C20H22ClFN4O5S/c1-26-19(23)25-20(11-30-13(10-29-2)8-18(20)32(26,27)28)14-7-12(3-4-16(14)22)31-17-9-24-6-5-15(17)21/h3-7,9,13,18H,8,10-11H2,1-2H3,(H2,23,25)/t13-,18-,20-/m1/s1",203,10.7270/Q2057JXQ,6.692503962
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4ncncc4F)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C19H21F2N5O5S/c1-26-18(22)25-19(9-30-12(8-29-2)6-16(19)32(26,27)28)13-5-11(3-4-14(13)20)31-17-15(21)7-23-10-24-17/h3-5,7,10,12,16H,6,8-9H2,1-2H3,(H2,22,25)/t12-,16-,19-/m1/s1",5.9,10.7270/Q2057JXQ,8.229147988
C[C@H]1C[C@@H]2[C@](c3cc(Oc4cc(F)cnc4F)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C19H19F3N4O4S/c1-10-5-16-19(9-29-10,25-18(23)26(2)31(16,27)28)13-7-12(3-4-14(13)21)30-15-6-11(20)8-24-17(15)22/h3-4,6-8,10,16H,5,9H2,1-2H3,(H2,23,25)/t10-,16+,19+/m0/s1",7.1,10.7270/Q2057JXQ,8.148741651
C[C@H]1C[C@@H]2[C@](c3cc(OCC4CC4)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C18H24FN3O4S/c1-11-7-16-18(10-26-11,21-17(20)22(2)27(16,23)24)14-8-13(5-6-15(14)19)25-9-12-3-4-12/h5-6,8,11-12,16H,3-4,7,9-10H2,1-2H3,(H2,20,21)/t11-,16+,18+/m0/s1",28,10.7270/Q2057JXQ,7.552841969
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4cccnc4F)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C20H22F2N4O5S/c1-26-19(23)25-20(11-30-13(10-29-2)9-17(20)32(26,27)28)14-8-12(5-6-15(14)21)31-16-4-3-7-24-18(16)22/h3-8,13,17H,9-11H2,1-2H3,(H2,23,25)/t13-,17-,20-/m1/s1",28,10.7270/Q2057JXQ,7.552841969
COC[C@H]1C[C@@H]2[C@](c3cc(Oc4ncc(F)cc4F)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C20H21F3N4O5S/c1-27-19(24)26-20(10-31-13(9-30-2)7-17(20)33(27,28)29)14-6-12(3-4-15(14)22)32-18-16(23)5-11(21)8-25-18/h3-6,8,13,17H,7,9-10H2,1-2H3,(H2,24,26)/t13-,17-,20-/m1/s1",20,10.7270/Q2057JXQ,7.698970004
C[C@H]1C[C@@H]2[C@](c3cc(Oc4ncc(F)cc4F)ccc3F)(CO1)NC(=N)N(C)S2(=O)=O,"InChI=1S/C19H19F3N4O4S/c1-10-5-16-19(9-29-10,25-18(23)26(2)31(16,27)28)13-7-12(3-4-14(13)21)30-17-15(22)6-11(20)8-24-17/h3-4,6-8,10,16H,5,9H2,1-2H3,(H2,23,25)/t10-,16+,19+/m0/s1",25,10.7270/Q2057JXQ,7.602059991
